"","Call_askPrice","Call_askQty","Call_bidprice","Call_bidQty","Call_change","Call_changeinOpenInterest","Call_expiryDate","Call_identifier","Call_impliedVolatility","Call_lastPrice","Call_openInterest","Call_pChange","Call_pchangeinOpenInterest","Call_strikePrice","Call_totalBuyQuantity","Call_totalSellQuantity","Call_totalTradedVolume","Call_underlying","Call_underlyingValue","expiryDate","Put_askPrice","Put_askQty","Put_bidprice","Put_bidQty","Put_change","Put_changeinOpenInterest","Put_expiryDate","Put_identifier","Put_impliedVolatility","Put_lastPrice","Put_openInterest","Put_pChange","Put_pchangeinOpenInterest","Put_strikePrice","Put_totalBuyQuantity","Put_totalSellQuantity","Put_totalTradedVolume","Put_underlying","Put_underlyingValue","strikePrice","current_time"
"292","585.45","50","517.85","600","73.8","0","30-Sep-2021","OPTIDXNIFTY30-09-2021CE15550.00","0","527","1","16.2842012356576","0","15550","600","5800","2","NIFTY","15824.05","30-Sep-2021","213.2","900","180","50","0","0","30-Sep-2021","OPTIDXNIFTY30-09-2021PE15550.00","0","263","22","0","0","15550","3650","8350","0","NIFTY","15824.05","15550",2021-07-23 01:22:42
"293","223.9","1425","221.25","525","141.65","-19713","22-Jul-2021","OPTIDXNIFTY22-07-2021CE15600.00","0","222","3565","176.291225886746","-84.6851104046739","15600","678375","37575","118002","NIFTY","15824.05","22-Jul-2021","0.05","104475","0","0","-35.7","-17807","22-Jul-2021","OPTIDXNIFTY22-07-2021PE15600.00","9.72","0.05","23050","-99.8601398601399","-43.5837188241917","15600","0","841425","603753","NIFTY","15824.05","15600",2021-07-23 01:22:42
"294","247.95","300","246.4","50","101.8","-8819","29-Jul-2021","OPTIDXNIFTY29-07-2021CE15600.00","0","247.85","12527","69.7021567956179","-41.314531996627","15600","59700","29600","61358","NIFTY","15824.05","29-Jul-2021","24.25","200","24","150","-78.8","7812","29-Jul-2021","OPTIDXNIFTY29-07-2021PE15600.00","12.26","24.25","35513","-76.4677341096555","28.2011479729974","15600","151300","76750","189184","NIFTY","15824.05","15600",2021-07-23 01:22:42
"295","327.75","100","298.2","450","0","0","12-Aug-2021","OPTIDXNIFTY12-08-2021CE15600.00","0","0","0","0","0","15600","1050","6000","0","NIFTY","15824.05","12-Aug-2021","81.2","600","73.55","350","0","0","12-Aug-2021","OPTIDXNIFTY12-08-2021PE15600.00","0","0","0","0","0","15600","6600","8500","0","NIFTY","15824.05","15600",2021-07-23 01:22:42
"296","537.15","4800","1","500","0","0","18-Aug-2021","OPTIDXNIFTY18-08-2021CE15600.00","0","600","1","0","0","15600","20550","4800","0","NIFTY","15824.05","18-Aug-2021","192.9","400","1","2150","0","0","18-Aug-2021","OPTIDXNIFTY18-08-2021PE15600.00","0","0","0","0","0","15600","2750","5200","0","NIFTY","15824.05","15600",2021-07-23 01:22:42
"297","387.35","50","382.05","500","85.15","-482","26-Aug-2021","OPTIDXNIFTY26-08-2021CE15600.00","5.87","385.5","3279","28.3502580322956","-12.8157404945493","15600","7950","13400","3306","NIFTY","15824.05","26-Aug-2021","123.6","50","121.7","50","-91.55","720","26-Aug-2021","OPTIDXNIFTY26-08-2021PE15600.00","13.89","122","9370","-42.8705221259658","8.32369942196532","15600","12750","14600","12381","NIFTY","15824.05","15600",2021-07-23 01:22:42
"298","573.8","4800","0","0","0","0","02-Sep-2021","OPTIDXNIFTY02-09-2021CE15600.00","0","0","0","0","0","15600","0","4800","0","NIFTY","15824.05","02-Sep-2021","268.45","4800","0","0","0","0","02-Sep-2021","OPTIDXNIFTY02-09-2021PE15600.00","0","0","0","0","0","15600","0","4800","0","NIFTY","15824.05","15600",2021-07-23 01:22:42
"299","573.9","4800","0","0","0","0","09-Sep-2021","OPTIDXNIFTY09-09-2021CE15600.00","0","0","0","0","0","15600","0","4800","0","NIFTY","15824.05","09-Sep-2021","275.55","4800","0","0","0","0","09-Sep-2021","OPTIDXNIFTY09-09-2021PE15600.00","0","0","0","0","0","15600","0","4800","0","NIFTY","15824.05","15600",2021-07-23 01:22:42
"300","573.45","4800","0","0","0","0","16-Sep-2021","OPTIDXNIFTY16-09-2021CE15600.00","0","0","0","0","0","15600","0","4800","0","NIFTY","15824.05","16-Sep-2021","294.7","4800","0","0","0","0","16-Sep-2021","OPTIDXNIFTY16-09-2021PE15600.00","0","0","0","0","0","15600","0","4800","0","NIFTY","15824.05","15600",2021-07-23 01:22:42
"301","2237","1500","2103.7","75","0","0","22-Jul-2021","OPTIDXNIFTY22-07-2021CE13650.00","0","0","0","0","0","13650","6375","6300","0","NIFTY","15824.05","22-Jul-2021","0.05","2925","0","0","-0.05","91","22-Jul-2021","OPTIDXNIFTY22-07-2021PE13650.00","82.61","0.05","117","-50","350","13650","0","115500","1083","NIFTY","15824.05","13650",2021-07-23 01:22:42
"302","512.4","50","500.4","50","84.7","-8","30-Sep-2021","OPTIDXNIFTY30-09-2021CE15600.00","0","507.75","292","20.0212740810779","-2.66666666666667","15600","3350","7750","269","NIFTY","15824.05","30-Sep-2021","211.45","50","205","150","-82.9","1","30-Sep-2021","OPTIDXNIFTY30-09-2021PE15600.00","15.3","206.45","558","-28.6504233627095","0.179533213644524","15600","8850","5700","368","NIFTY","15824.05","15600",2021-07-23 01:22:42
"303","284","1000","275.2","200","79.95","-17","05-Aug-2021","OPTIDXNIFTY05-08-2021CE15600.00","0","279.9","934","39.9849962490623","-1.7875920084122","15600","14400","12000","2726","NIFTY","15824.05","05-Aug-2021","48.75","350","48.15","50","-91.15","2446","05-Aug-2021","OPTIDXNIFTY05-08-2021PE15600.00","12.19","48.45","5055","-65.2936962750716","93.7523955538521","15600","23150","7300","10547","NIFTY","15824.05","15600",2021-07-23 01:22:42
"304","205","250","203.7","50","85.5","-5413","29-Jul-2021","OPTIDXNIFTY29-07-2021CE15650.00","0","204","2917","72.1518987341772","-64.9819927971188","15650","26000","19350","21846","NIFTY","15824.05","29-Jul-2021","33.1","50","31","50","-93.9","7132","29-Jul-2021","OPTIDXNIFTY29-07-2021PE15650.00","11.8","31.2","13521","-75.0599520383693","111.629362967601","15650","138600","63800","67763","NIFTY","15824.05","15650",2021-07-23 01:22:42
"305","250","100","240","50","68.1","-204","05-Aug-2021","OPTIDXNIFTY05-08-2021CE15650.00","5.41","240","233","39.6160558464223","-46.6819221967963","15650","12050","13650","1064","NIFTY","15824.05","05-Aug-2021","63.7","50","60","150","-100.35","307","05-Aug-2021","OPTIDXNIFTY05-08-2021PE15650.00","12.11","60.05","481","-62.5623441396509","176.436781609195","15650","15250","10650","1602","NIFTY","15824.05","15650",2021-07-23 01:22:42
"306","487.15","4800","1.05","50","0","0","18-Aug-2021","OPTIDXNIFTY18-08-2021CE15650.00","0","0","0","0","0","15650","4800","4800","0","NIFTY","15824.05","18-Aug-2021","210.05","4800","1.25","300","0","0","18-Aug-2021","OPTIDXNIFTY18-08-2021PE15650.00","0","0","0","0","0","15650","4050","4800","0","NIFTY","15824.05","15650",2021-07-23 01:22:42
